model,model_year,milage,fuel_type,transmission,ext_col,car/sedan,condition,location,no_of_seats,cc,power_steering,push_start,power_seat,price
vitz ,2016,92200,petrol,automatic,brown,car,high,battaramulla,5,1000,yes,yes,no,"7,150,000"
vitz,2002,194000,petrol,automatic,blue,car,medium,kaluthara,5,1000,no,no,no,"3,400,000"
vitz safety ,2017,113000,petrol,automatic,ash,car,high,moneragala,5,1000,yes,yes,no,"7,575,000"
Corolla 121 x grade,2001,310000,diesel,automatic,super white,sedan,medium,rathnapura,4,2200,yes,no,no,"4,990,000.00"
aqua,2012,135000,hybrid,automatic,dark blue,car,mint,negombo,5,1500,yes,yes,no,"6,490,000.00"
aqua,2013,159000,hybrid,automatic,white,car,mint,kottawa,5,1500,yes,yes,no,"7,500,000.00"
Corolla 121 x grade,2005,256000,petrol,manual,super white,sedan,medium,rathnapura,4,1300,yes,no,no,"5,500,000.00"
aqua,2012,205000,hybrid,automatic,grey,car,mint,boralesgamuwa,5,1500,yes,yes,no,"6,450,000.00"
Toyota Axio G Grade,2017,126000,hybrid,automatic,white,sedan,mint,matara,5,1500,yes,yes,yes,"10,750,000.00"
yaris,2008,176000,petrol,automatic,white,car,medium,kandy,5,1300,yes,yes,no,"5,750,000.00"
aqua,2014,129000,hybrid,automatic,white,car,mint,kalmunai,5,1500,yes,yes,no,"7,450,000.00"
Toyota Premio,2007,198000,petrol,automatic,pearl white,sedan,medium,veyangoda,5,1500,yes,yes,yes,"8,950,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio ,2018,129000,petrol,automatic,pearl white,sedan,mint,marawila,5,1500,yes,yes,yes,"14,300,000.00"
Toyota Axio G Grade ,2013,151000,hybrid,automatic,gray ,sedan,medium,hambanthota,5,1500,yes,yes,yes,"8,500,000.00"
aqua,2015,120000,hybrid,automatic,grey,car,mint,matara,5,1500,yes,yes,no,"8,000,000.00"
yaris,2022,996,petrol,automatic,white,car,mint,malabe,5,1300,yes,yes,no,"8,990,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
yaris,2008,229000,petrol,automatic,red,car,mint,anuradapura,5,1300,yes,yes,no,"6,350,000.00"
Toyota Premio G superior,2007,236250,petrol,automatic,wine red,sedan,medium,hambantota,5,1500,yes,yes,yes,"9,950,000.00"
yaris,2012,90000,petrol,automatic,white,car,mint,malabe,5,1300,yes,yes,no,"7,000,000.00"
Corolla 121 x grade,2005,225000,petrol,automatic,indigo ink,sedan,mint,colombo,4,1500,yes,no,no,"5,950,000.00"
Toyota Axio G Grade,2015,158000,hybrid,automatic,white,sedan,mint,matugama,5,1500,yes,yes,yes,"9,950,000.00"
vitz,2010,130000,petrol,automatic,ash,car,high,matara,5,1000,yes,yes,no,"5,400,000"
Toyota Premio G superior,2013,110000,petrol,automatic,wine red,sedan,medium,boralasgamuwa,5,1500,yes,yes,yes,"10,350,000.00"
vitz,2019,65000,petrol,automatic,white,car,high,Kurunegala,5,1000,yes,yes,no,"8,900,000"
Corolla 121 x grade,2001,250000,petrol,manual,desert sand mica,sedan,medium,gampaha,4,1500,yes,no,no,"5,300,000.00"
Toyota Premio,2019,118000,petrol,automatic,pearl white,sedan,mint,kurunegala,5,1500,yes,yes,yes,"16,500,000.00"
Toyota Premio G superior,2011,115000,petrol,automatic,wine red,sedan,mint,katunayake,5,1500,yes,yes,yes,"9,791,000.00"
aqua ,2014,49000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"7,850,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
yaris,2007,136000,petrol,automatic,black,car,mint,nittambuwa,5,1300,yes,yes,no,"6,400,000.00"
yaris,2017,81000,petrol,automatic,white,car,mint,colombo 7,5,1300,yes,yes,no,"9,600,000.00"
Toyota Premio,2011,148000,petrol,automatic,wine red,sedan,medium,horana,5,1500,yes,yes,yes,"9,450,000.00"
Toyota Axio WXB,2016,70200,hybrid,automatic,black,sedan,mint,pannipitiya,5,1490,yes,yes,yes,"11,800,000.00"
Corolla 121 g grade,2004,240000,petrol,automatic,black,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio G superior,2015,200000,petrol,automatic,wine red,sedan,mint,colombo,5,1500,yes,yes,yes,"12,400,000.00"
aqua urban,2015,50000,petrol,automatic,red,car,mint,kurunegala,5,1500,yes,yes,no,"7,875,000.00"
aqua,2016,86500,hybrid,automatic,red,car,mint,homagama,5,1500,yes,yes,no,"8,125,000.00"
Toyota Axio WXB ,2016,178900,hybrid,automatic,white,sedan,mint,pannipitiya,5,1500,yes,yes,yes,"11,425,000.00"
Corolla 121 x grade,2002,140000,diesel,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,250,000.00"
aqua,2014,93000,hybrid,automatic,black,car,mint,horana,5,1500,yes,yes,no,"7,600,000.00"
yaris,2012,141000,petrol,automatic,blue,car,mint,piliyandala,5,1300,yes,yes,no,"6,875,000.00"
Toyota Premio ,2010,230000,petrol,automatic,wine red,sedan,medium,kandy,5,1500,yes,yes,yes,"8,800,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
yaris,2011,175000,petrol,automatic,black,car,mint,gampaha,5,1300,yes,yes,no,"6,950,000.00"
Toyota Premio,2018,112000,petrol,automatic,pearl white,sedan,mint,gampaha,5,1500,yes,yes,yes,"12,350,000.00"
yaris,2008,180000,petrol,automatic,black,car,mint,battaramulla,5,1300,yes,yes,no,"6,350,000.00"
Toyota Premio,2014,116000,petrol,automatic,black,sedan,mint,kadawatha,5,1500,yes,yes,yes,"11,475,000.00"
vitz safety,2019,43000,petrol,automatic,red,car,high,nugegoda,5,1000,yes,yes,no,"8,490,000"
Toyota Axio G Grade,2015,127000,hybrid,automatic,white,sedan,mint,colombo,5,1490,yes,yes,yes,"9,950,000.00"
aqua,2013,142000,petrol,automatic,dark blue,car,mint,moratuwa,5,1500,yes,yes,no,"6,700,000.00"
aqua x urban face,2015,85000,hybrid,automatic,brown,car,mint,colombo,5,1500,yes,yes,no,"8,250,000.00"
Corolla 121 x grade,2000,160000,petrol,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,500,000.00"
yaris,2007,101202,petrol,manual,light blue,car,mint,moratuwa,5,1300,yes,yes,no,"6,375,000.00"
Corolla 121 g grade,2002,252000,petrol,automatic,desert sand mica,sedan,medium,badulla,4,1500,yes,no,no,"6,200,000.00"
vitz ,2012,103000,petrol,automatic,ash,car ,medium,kesbewa,5,1000,yes,yes,no,"5,650,000"
Toyota Premio G superior,2015,147000,petrol,automatic,pearl white,sedan,mint,negambo,5,1500,yes,yes,yes,"12,125,000.00"
Toyota Premio,2016,95867,petrol,automatic,pearl white,sedan,mint,gampaha,5,1500,yes,yes,yes,"13,700,000.00"
Corolla 121 g grade,2001,226000,petrol,automatic,super white,sedan,medium,puttalama,4,1500,yes,no,no,"5,700,000.00"
Toyota Axio G Grade,2008,135000,petrol,automatic,black,sedan,mint, nuwara eliya,5,1500,yes,yes,yes,"7,350,000.00"
Toyota Axio WXB,2017,130000,hybrid,automatic,white,sedan,mint,gampaha,5,1500,yes,yes,yes,"12,000,000.00"
Toyota Premio G superior,2015,200000,petrol,automatic,wine red,sedan,mint,kandy,5,1500,yes,yes,yes,"12,900,000.00"
Toyota Premio G superior,2014,200000,petrol,automatic,light blue,sedan,mint,kaduwela,5,1500,yes,yes,yes,"10,850,000.00"
Toyota Axio G Grade,2017,147000,hybrid,automatic,black,sedan,mint,gampaha,5,1500,yes,yes,yes,"11,650,000.00"
yaris,2006,148000,petrol,automatic,olive green,car,mint,kadawatha,5,1300,yes,yes,no,"5,750,000.00"
yaris ,2011,153000,petrol,automatic,blue,car,mint,panadura,5,1300,yes,yes,no,"6,900,000.00"
Corolla 121 x grade,2003,137000,petrol,automatic,super white,sedan,medium,colombo,4,1500,yes,no,no,"5,575,000.00"
aqua urban,2015,170000,petrol,automatic,white,car,mint,rathnapura,5,1500,yes,yes,no,"9,000,000.00"
Corolla 121 xli grade,2006,175000,petrol,manual,indigo ink,sedan,mint,colombo,4,1500,yes,no,no,"5,300,000.00"
aqua,2012,155000,hybrid,automatic,orange,car,mint,rathnapura,5,1500,yes,yes,no,"6,350,000.00"
Toyota Axio WXB,2025,5600,hybrid,automatic,black,sedan,mint,colombo,5,1490,yes,yes,yes,"16,295,000.00"
vitz,2009,160000,petrol,automatic,ash,car,high,colombo,5,1000,yes,yes,no,"5,225,000"
Toyota Axio WXB ,2017,117000,hybrid,automatic,white,sedan,mint,ja-ela,5,1500,yes,yes,yes,"11,975,000.00"
Toyota Premio G superior,2019,75000,petrol,automatic,pearl white,sedan,mint,negambo,5,1500,yes,yes,yes,"15,885,000.00"
Corolla 121 g grade,2001,220000,petrol,automatic,desert sand mica,sedan,medium,nuwara eliya,4,1500,yes,no,no,"5,500,000.00"
yaris,2011,175000,petrol,automatic,white,car,mint,gampaha,5,1300,yes,yes,no,"6,950,000.00"
aqua,2012,137000,petrol,automatic,dark blue,car,mint,kottawa,5,1500,yes,yes,no,"7,800,000.00"
aqua urban,2015,98000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"8,150,000.00"
aqua,2018,94000,petrol,automatic,black,car,mint,kuliyapitiya,5,1500,yes,yes,no,"9,500,000.00"
Toyota Premio G superior,2013,117000,petrol,automatic,wine red,sedan,medium,matara,5,1500,yes,yes,yes,"10,500,000.00"
vitz,2007,12000,petrol,automatic,white,car,high,bandaragama,5,1000,yes,no,no,"5,500,000"
vitz safety,2018,66000,petrol,automatic,maroon,car,high,dehiwala,5,1000,yes,yes,no,"7,900,000"
Toyota Axio WXB ,2019,80000,hybrid,automatic,white,sedan,mint,nittambuwa,5,1500,yes,yes,yes,"14,000,000.00"
Toyota Axio G Grade,2015,120000,hybrid,automatic,dark brown,sedan,mint,gampaha,5,1500,yes,yes,yes,"10,850,000.00"
aqua,2012,146611,hybrid,automatic,white,car,medium,pannipitiya,5,1500,yes,yes,no,"6,750,000.00"
yaris,2011,173000,petrol,automatic,white,car,mint,elpitiya,5,1300,yes,yes,no,"7,200,000.00"
Corolla 121 lx grade,2003,210000,petrol,automatic,desert sand mica,sedan,mint,kegalle,4,1500,yes,no,no,"5,850,000.00"
Toyota Axio WXB,2017,12000,hybrid,automatic,white,sedan,mint,jaffna,5,1500,yes,yes,yes,"12,500,000.00"
Toyota Axio WXB,2017,139000,hybrid,automatic,white,sedan,mint,veyangoda,5,1302,yes,yes,yes,"12,200,000.00"
vitz safety ,2018,99000,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"7,975,000"
Toyota Premio G superior,2012,120000,petrol,automatic,wine red,sedan,mint,kurunegala,5,1500,yes,yes,yes,"9,750,000.00"
Toyota Axio WXB ,2017,124000,hybrid,automatic,red,sedan,mint,kiribathgoda,5,1500,yes,yes,yes,"12,450,000.00"
Toyota Premio,2013,118000,petrol,automatic,wine red,sedan,mint,matale,5,1500,yes,yes,yes,"11,200,000.00"
aqua ,2012,218700,hybrid,automatic,white,car,mint,colombo,5,1500,yes,yes,no,"6,800,000.00"
vitz,2000,121000,petrol,automatic,ash,car,high,piliyandala,5,1000,yes,yes,no,"5,145,000"
Toyota Premio,2017,115000,petrol,automatic,pearl white,sedan,mint,kuliyapitiya,5,1500,yes,yes,yes,"14,300,000.00"
Corolla 121 x grade,2000,190000,petrol,automatic,desert sand mica,sedan,medium,colombo,4,1500,yes,no,no,"5,475,000.00"
vitz safety,2016,73000,petrol,automatic,black,car,high,panadura,5,1000,yes,yes,no,"6,900,000"
Toyota Premio,2015,108350,petrol,automatic,wine red,sedan,mint,warakapola,5,1500,yes,yes,yes,"12,500,000.00"
yaris,2008,228000,petrol,automatic,black,car,mint,nugegoda,5,1300,yes,yes,no,"6,350,000.00"
vitz,2010,13000,petrol,automatic,ash,car,high,matara,5,1000,yes,yes,no,"5,395,000"
yaris,2007,167000,petrol,automatic,metallic green,car,mint,kegalle,5,1000,yes,yes,no,"5,575,000.00"
aqua,2014,206000,petrol,automatic,white,car,mint,ja ela,5,1500,yes,yes,no,"7,195,000.00"
Toyota Axio G Grade,2016,200000,petrol,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"11,500,000.00"
Corolla 121 g grade,2004,180000,petrol,automatic,super white,sedan,mint,colombo,4,1300,yes,no,no,"6,000,000.00"
Toyota Axio G Grade,2013,119000,hybrid,automatic,dark maroon,sedan,mint,dehiwala-mount-lavinia,5,1500,yes,yes,yes,"8,900,000.00"
yaris ,2007,142000,petrol,manual,dark blue,car,medium,kelaniya,5,1300,yes,yes,no,"5,000,000.00"
Toyota Axio G Grade,2017,79000,hybrid,automatic,white,sedan,mint,anuradhapura,5,1500,yes,yes,yes,"11,750,000.00"
yaris,2008,12000,petrol,automatic,black,car,medium,kandy,5,1300,yes,yes,no,"6,400,000.00"
Corolla 121 g grade,2003,175000,petrol,automatic,lunar mist,sedan,mint,colombo,4,1500,yes,no,no,"5,800,000.00"
aqua,2013,142000,hybrid,automatic,dark blue,car,mint,moratuwa,5,1500,yes,yes,no,"6,700,000.00"
Toyota Axio G Grade,2014,180000,hybrid,automatic,white,sedan,mint,gampaha,5,1499,yes,yes,yes,"9,350,000.00"
Toyota Premio,2014,130000,petrol,automatic,pearl white,sedan,mint,kurunegala,5,1500,yes,yes,yes,"12,900,000.00"
Corolla 121 g grade,2002,165000,petrol,automatic,desert sand mica,sedan,mint,kurunegala,4,1500,yes,no,no,"6,275,000.00"
Toyota Premio,2007,134000,petrol,automatic,red,sedan,mint,ratnapura,5,1500,yes,yes,yes,"8,500,000.00"
Toyota Premio G superior,2016,120000,petrol,automatic,pearl white,sedan,mint,negambo,5,1500,yes,yes,yes,"12,700,000.00"
aqua urban,2015,134000,hybrid,automatic,dark blue,car,mint,kandy,5,1500,yes,yes,no,"8,500,000.00"
Toyota Premio,2018,67000,petrol,automatic,pearl white,sedan,mint,kandy,5,1500,yes,yes,yes,"15,650,000.00"
Corolla 121 x grade,2002,225000,petrol,automatic,super white,sedan,mint,colombo,4,1500,yes,no,no,"5,250,000.00"
vitz safety,2018,146000,petrol,automatic,white,car,high,malabe,5,1000,yes,yes,no,"7,795,000"
Toyota Premio G superior,2018,67000,petrol,automatic,pearl white,sedan,mint,hambantota,5,1500,yes,yes,yes,"16,175,000.00"
yaris,2007,216000,petrol,automatic,elegant light green,car,mint,kandy,5,1300,yes,yes,no,"5,700,000.00"
Toyota Premio,2007,89000,petrol,automatic,silver,sedan,mint,kurunegala,5,1500,yes,yes,yes,"9,600,000.00"
Toyota Premio,2015,112000,petrol,automatic,wine red,sedan,mint,nittambuwa,5,1500,yes,yes,yes,"13,250,000.00"
Corolla 121 x grade,2002,147800,petrol,automatic,super white,sedan,medium,colombo,4,1500,yes,no,no,"5,675,000.00"
yaris,2008,140000,petrol,automatic,dark blue,car,mint,middeniya,5,1300,yes,yes,no,"6,000,000.00"
Corolla 121 g grade,2005,210000,petrol,automatic,desert sand mica,sedan,mint,rathnapura,4,1500,yes,no,no,"6,000,000.00"
yaris,2008,110000,petrol,automatic,dark blue,car,mint,kadawatha,5,1300,yes,yes,no,"5,695,000.00"
aqua,2013,185000,hybrid,automatic,black,car,mint,tangalle,5,1500,yes,yes,no,"7,850,000.00"
Corolla 121 lx grade,2005,175000,petrol,automatic,lunar mist,sedan,mint,colombo,4,1500,yes,no,no,"5,875,000.00"
yaris,2007,164000,petrol,automatic,red,car,mint,battaramulla,5,1300,yes,yes,no,"6,450,000.00"
vitz safety ,2019,57000,petrol,automatic,white,car,high,negombo,5,1000,yes,yes,no,"8,400,000"
vitz safety,2020,37000,petrol,automatic,white,car,high,matara,5,1000,yes,yes,no,"8,700,000"
Toyota Axio G Grade,2006,250000,petrol,automatic,silver metallic,sedan,medium,kesbawa,5,1500,yes,yes,yes,"7,075,000.00"
vitz,2017,103500,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"7,650,000"
aqua urban,2015,129000,hybrid,automatic,pearl white,car,mint,matara,5,1500,yes,yes,no,"8,650,000.00"
vitz safety ,2016,73000,petrol,automatic,black,car,high,panadura,5,1000,yes,yes,no,"6,900,000"
vitz,2016,75000,petrol,automatic,ash,car,high ,chilaw,5,1000,yes,yes,no,"7,000,000"
Toyota Premio,2010,167000,petrol,automatic,wine red,sedan,medium,kandy,5,1500,yes,yes,yes,"9,600,000.00"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
Toyota Premio G superior,2018,94000,petrol,automatic,pearl white,sedan,mint,matara,5,1500,yes,yes,yes,"14,900,000.00"
Toyota Premio,2008,175000,petrol,automatic,wine red,sedan,mint,polonnaruwa,5,1500,yes,yes,yes,"9,100,000.00"
aqua urban ,2015,89000,hybrid,automatic,red,car,mint,colombo,5,1500,yes,yes,no,"8,750,000.00"
yaris,2007,131000,petrol,automatic,black,car,mint,kottawa,5,1300,yes,yes,no,"6,200,000.00"
aqua  ,2013,176000,hybrid,automatic,dark blue,car,mint,katunayake,5,1500,yes,yes,no,"7,200,000.00"
vitz,2009,142000,petrol,automatic,ash,car,high,wennappuwa,5,1000,yes,yes,no,"5,550,000"
Corolla 121 g grade,2003,173926,petrol,automatic,super white,sedan,mint,kurunegala,4,1500,yes,no,no,"5,800,000.00"
vitz,2008,148000,petrol,automatic,ash,car,high,pannala,5,1000,yes,no,no,"5,340,000"
aqua urban,2017,113000,hybrid,automatic,green,car,mint,galle,5,1500,yes,yes,no,"7,995,000.00"
Toyota Premio,2013,115200,petrol,automatic,black,sedan,medium,kalutara,5,1500,yes,yes,yes,"9,975,000.00"
yaris,2007,109500,petrol,manual,black,car,mint,matara,5,1300,yes,yes,no,"6,250,000.00"
Corolla 121 x grade,2001,226000,petrol,automatic,super white,sedan,medium,colombo,4,1500,yes,no,no,"5,200,000.00"
Toyota Premio,2014,111000,petrol,automatic,black,sedan,mint,bandarawela,5,1500,yes,yes,yes,"12,000,000.00"
vitz,2007,121000,petrol,automatic,ash,car,high,piliyandala,5,1000,yes,no,no,"5,145,000"
vitz,2015,79200,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"7,150,000"
Toyota Axio G Grade,2014,138000,petrol,automatic,black,sedan,mint,piliyandala,5,1500,yes,yes,yes,"8,750,000.00"
Toyota Premio G superior,2013,92000,petrol,automatic,pearl white,sedan,mint,polonnaruwa,5,1500,yes,yes,yes,"11,800,000.00"
vitz,2017,46600,petrol,automatic,black,car,high,battaramulla,5,1000,yes,yes,no,"7,550,000"
Toyota Axio G Grade ,2006,131000,petrol,automatic,dark blue,sedan,medium,panadura,5,1490,yes,yes,yes,"6,950,000.00"
yaris,2024,7000,petrol,automatic,white,car,mint,dehiwala,5,1000,yes,yes,no,"9,800,000.00"
aqua x urban g ,2015,49900,hybrid,automatic,red,car,mint,kurunegala,5,1500,yes,yes,no,"7,875,000.00"
vitz,2015,36315,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,150,000"
Toyota Premio G superior,2013,127000,petrol,automatic,pearl white,sedan,mint,embilipitiya,5,1500,yes,yes,yes,"11,650,000.00"
aqua,2014,130000,petrol,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"7,150,000.00"
yaris,2013,89500,petrol,automatic,red,car,mint,maharagama,5,1300,yes,yes,no,"8,100,000.00"
vitz,2007,150000,petrol,automatic,white,car,high,colombo,5,1000,yes,no,no,"4,900,000"
aqua ,2012,188000,petrol,automatic,white,car,mint,middeniya,5,1500,yes,yes,no,"7,350,000.00"
yaris,2008,157000,petrol,automatic,olive green,car,mint,bandarawela,5,1300,yes,yes,no,"6,125,000.00"
Toyota Axio G Grade ,2014,175000,hybrid,automatic,white,sedan,mint,hambanthota,5,1500,yes,yes,yes,"9,200,000.00"
Toyota Axio G Grade,2013,95000,hybrid,automatic,black,sedan,mint,kandy,5,1500,yes,yes,yes,"8,650,000.00"
aqua,2013,160000,hybrid,automatic,dark blue,car,mint,boralesgamuwa,5,1500,yes,yes,no,"7,550,000.00"
yaris,2008,202000,petrol,automatic,dark blue,car,medium,galle,5,1300,yes,yes,no,"5,975,000.00"
Toyota Premio G superior,2018,115000,petrol,automatic,pearl white,sedan,mint,matara,5,1500,yes,yes,yes,"14,700,000.00"
Toyota Premio G superior,2018,1500,petrol,automatic,pearl white,sedan,mint,colombo,5,1500,yes,yes,yes,"15,950,000.00"
Toyota Axio WXB ,2018,88000,hybrid,automatic,white,sedan,mint,ambalangoda,5,1500,yes,yes,yes,"12,950,000.00"
Toyota Premio G superior,2017,105000,petrol,automatic,wine red,sedan,mint,galle,5,1500,yes,yes,yes,"14,700,000.00"
aqua,2016,127770,hybrid,automatic,green,car,mint,malabe,5,1500,yes,yes,no,"8,275,000.00"
yaris,2021,130000,diesel,automatic,metallic green,car,mint,maharagama,5,1300,yes,yes,no,"5,975,000.00"
yaris,2008,177000,petrol,automatic,black,car,mint,panadura,5,1300,yes,yes,no,"5,750,000.00"
aqua,2013,112000,hybrid,automatic,dark blue,car,mint,kandy,5,1500,yes,yes,no,"7,075,000.00"
Toyota Premio G superior,2016,87000,petrol,automatic,pearl white,sedan,mint,meerigama,5,1500,yes,yes,yes,"15,275,000.00"
Corolla 121 g grade,2000,271000,petrol,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,700,000.00"
vitz safety ,2019,56000,petrol,automatic,red,car,high,wennappuwa,5,1000,yes,yes,no,"8,300,000"
vitz,2015,132000,petrol,automatic,brown,car,high,kaluthara,5,1000,yes,yes,no,"6,700,000"
Toyota Premio G superior,2010,162000,petrol,automatic,wine red,sedan,mint,boralasgamuwa,5,1500,yes,yes,yes,"10,275,000.00"
Toyota Axio WXB ,2017,156000,hybrid,automatic,white,sedan,mint,kaluthara,5,1500,yes,yes,yes,"11,500,000.00"
Toyota Axio WXB,2018,121000,hybrid,automatic,white,sedan,mint,kadawatha,5,1500,yes,yes,yes,"13,200,000.00"
Corolla 121 xli grade,2004,218654,petrol,manual,lunar mist,sedan,medium,gampaha,4,1300,yes,no,no,"5,500,000.00"
Toyota Axio G Grade,2015,156000,hybrid,automatic,black,sedan,mint,ambalangoda,5,1500,yes,yes,yes,"9,600,000.00"
yaris,2008,147970,petrol,automatic,silver,car,mint,colombo,5,1300,yes,yes,no,"6,875,000.00"
vitz safety,2017,72000,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,600,000"
Corolla 121 g grade,2004,130000,petrol,automatic,super white,sedan,medium,polonnaruwa,4,1500,yes,no,no,"6,750,000.00"
Corolla 121 g grade,2000,220000,petrol,automatic,super white,sedan,medium,gampaha,4,1500,yes,no,no,"5,750,000.00"
Toyota Axio WXB ,2018,99000,petrol,automatic,maroon,sedan,mint,padukka,5,1500,yes,yes,yes,"12,350,000.00"
yaris,2006,190000,petrol,automatic,red,car,mint,dehiwala mount laviniya,5,1300,yes,yes,no,"6,000,000.00"
vitz safety ,2018,85000,petrol,automatic,maroon,car,high,homagama,5,1000,yes,yes,no,"7,950,000"
vitz safety,2018,99000,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"7,975,000"
