model,model_year,milage,fuel_type,transmission,ext_col,car/sedan,condition,location,no_of_seats,cc,power_steering,push_start,power_seat,price
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio,2017,155000,petrol,automatic,wine red,sedan,mint,kandy,5,1500,yes,yes,yes,"13,800,000.00"
Toyota Premio G superior,2015,147000,petrol,automatic,pearl white,sedan,mint,ragama,5,1500,yes,yes,yes,"14,000,000.00"
vitz ,2000,168000,petrol,automatic,golden yellow,car,high,hikkaduwa,5,1000,no,no,no,"3,330,000"
vitz,2010,147000,petrol,automatic,ash,car,high,kaluthara,5,1000,yes,yes,no,"5,600,000"
vitz,2007,200000,petrol,automatic,ash,car,high,dambulla,5,1000,yes,yes,no,"5,100,000"
Toyota Premio G superior,2015,112000,petrol,automatic,wine red,sedan,mint,kandy,5,1500,yes,yes,yes,"11,690,000.00"
Corolla 121 x grade,2001,344000,diesel,automatic,super white,sedan,medium,kurunegala,4,2200,yes,no,no,"5,600,000.00"
Toyota Premio G superior,2016,81000,petrol,automatic,pearl white,sedan,mint,colombo,5,1500,yes,yes,yes,"13,800,000.00"
vitz,2011,163000,petrol,automatic,black,car,high,gampaha,5,1000,yes,yes,no,"5,200,000"
Toyota Premio G superior,2015,160000,petrol,automatic,black,sedan,mint,embilipitiya,5,1500,yes,yes,yes,"11,200,000.00"
vitz,2011,163000,petrol,automatic,maroon,car,medium,Gampaha,5,1000,yes,yes,no,"4,900,000"
Toyota Axio G Grade,2014,116050,hybrid,automatic,dark brown,sedan,mint,mulleriyawa,5,1500,yes,yes,yes,"9,825,000.00"
Corolla 121 g grade,2001,250000,petrol,manual,desert sand mica,sedan,medium,gampaha,4,1500,yes,no,no,"5,300,000.00"
Toyota Axio G Grade,2016,127000,petrol,automatic,gray,sedan,mint,piliyandala,5,1500,yes,yes,yes,"11,000,000.00"
Toyota Premio G superior,2013,120000,petrol,automatic,pearl white,sedan,mint,kandy,5,1500,yes,yes,yes,"11,000,000.00"
yaris,2009,82586,petrol,atomatic,white,car,mint,colombo,5,1300,yes,yes,no,"4,475,000.00"
aqua urban,2015,97000,hybrid,automatic,wine red,car,mint,wennappuwa,5,1500,yes,yes,no,"7,900,000.00"
Toyota Axio G Grade,2014,117000,hybrid,automatic,black,sedan,mint,kuliyapitiya,5,1500,yes,yes,yes,"9,000,000.00"
vitz safety,2018,77000,petrol,automatic,dark purple,car,high,ja-ela,5,1000,yes,yes,no,"8,200,000"
vitz safety,2018,84000,petrol,automatic,white,car,high,negombo,5,1000,yes,yes,no,"7,600,000"
Toyota Axio G Grade,2015,140000,hybrid,automatic,dark maroon,sedan,mint,kaluthara,5,1500,yes,yes,yes,"9,275,000.00"
vitz,2007,200000,petrol,automatic,ash,car,high,dambulla,5,1000,yes,yes,no,"5,100,000"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
yaris,2007,185000,petrol,manual,black,car,mint,colombo,5,1000,yes,yes,no,"6,100,000.00"
aqua ,2014,187000,hybrid,automatic,black,car,mint,nattandiya,5,1500,yes,yes,no,"7,650,000.00"
Corolla 121 x grade,2003,213000,petrol,automatic,impulse red,sedan,medium,rathnapura,4,1500,yes,no,no,"5,850,000.00"
Corolla 121 g grade,2000,155000,petrol,automatic,super white,sedan,medium,kandy,4,1500,yes,no,no,"5,500,000.00"
yaris,2007,171000,petrol,automatic,red,car,mint,gampaha,5,1300,yes,yes,no,"6,200,000.00"
aqua,2013,119000,hybrid,automatic,pearl white,car,mint,rathnapura,5,1500,yes,yes,no,"7,500,000.00"
vitz,2018,99000,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"8,000,000"
yaris,2007,148000,petrol,automatic,dark metallic green,car,mint,piliyandala,5,1300,yes,yes,no,"5,875,000.00"
Corolla 121 g grade,2004,148000,petrol,automatic,lunar mist,sedan,mint,kurunegala,4,1500,yes,no,no,"6,600,000.00"
vitz safety ,2018,85000,petrol,automatic,maroon,car,high,homagama,5,1000,yes,yes,no,"7,950,000"
yaris,2007,143732,petrol,automatic,dark metallic green,car,mint,battaramulla,5,1300,yes,yes,no,"6,250,000.00"
Toyota Premio G superior,2017,90000,petrol,automatic,pearl white,sedan,mint,nugegoda,5,1500,yes,yes,yes,"13,750,000.00"
aqua,2014,171000,hybrid,automatic,wine red,car,mint,ambalangoda,5,1500,yes,yes,no,"7,650,000.00"
vitz safety,2018,30500,petrol,automatic,dark blue,car,high,kandy,5,1000,yes,yes,no,"8,900,000"
aqua urban,2015,96000,hybrid,automatic,pearl white,car,mint,kurunegala,5,1500,yes,yes,no,"7,990,000.00"
Corolla 121 x grade,2003,185000,petrol,manual,black,sedan,medium,colombo,4,1300,yes,no,no,"4,850,000.00"
vitz ,2018,90000,petrol,automatic,dark purple,car,high,kurunagala,5,1000,yes,yes,no,"7,600,000"
Toyota Premio,2010,142000,petrol,automatic,wine red,sedan,medium,kadawathe,5,1500,yes,yes,yes,"9,650,000.00"
Toyota Premio,2013,169000,petrol,automatic,wine red,sedan,mint,kadawatha,5,1500,yes,yes,yes,"10,975,000.00"
yaris,2008,190000,petrol,automatic,white,car,medium,galle,5,1300,yes,yes,no,"3,000,000.00"
vitz safety ,2017,92200,petrol,automatic,brown,car,medium,battaramulla,5,1000,yes,yes,no,"7,650,000"
Toyota Axio WXB ,2018,103000,hybrid,automatic,white,sedan,mint,kadawatha,5,1500,yes,yes,yes,"13,500,000.00"
Toyota Premio G superior,2019,96200,petrol,automatic,pearl white,sedan,medium,kadawatha,5,1500,yes,yes,yes,"17,000,000.00"
yaris,2018,80000,petrol,automatic,black,car,mint,kadawatha,5,1000,yes,yes,no,"7,600,000.00"
Toyota Premio,2013,170500,petrol,automatic,pearl white,sedan,medium,galle,5,1500,yes,yes,yes,"10,000,000.00"
Toyota Premio G superior,2017,90000,petrol,automatic,wine red,sedan,mint,nugegoda,5,1500,yes,yes,yes,"13,750,000.00"
Toyota Axio WXB,2016,105302,hybrid,automatic,white,sedan,mint,panadura,5,1500,yes,yes,yes,"11,050,000.00"
Toyota Axio WXB ,2017,138000,hybrid,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"12,200,000.00"
Corolla 121 g grade,2003,230000,petrol,automatic,desert sand mica,sedan,medium,colombo,4,1500,yes,no,no,"5,675,000.00"
Toyota Axio WXB ,2017,97000,hybrid,automatic,black,sedan,mint,nugegoda,5,1500,yes,yes,yes,"11,750,000.00"
yaris,2007,161000,petrol,automatic,red,car,mint,kottawa,5,1300,yes,yes,no,"6,275,000.00"
Toyota Axio WXB ,2017,148500,hybrid,automatic,black,sedan,mint,ragama,5,1500,yes,yes,yes,"11,500,000.00"
 Corolla 121 x grade,2003,320000,petrol,manual,desert sand mica,sedan,medium,badulla,4,1500,yes,no,no,"5,190,000.00"
yaris,2008,221000,petrol,automatic,dark blue,car,medium,kandana,5,1300,yes,yes,no,"6,500,000.00"
vitz,2017,51700,petrol,automatic,ash,car,high,colombo,5,1000,yes,yes,no,"7,300,000"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
aqua,2014,49000,hybrid,automatic,grey,car,mint,colombo,5,1500,yes,yes,no,"7,850,000.00"
Toyota Axio G Grade ,2015,190000,hybrid,automatic,white,sedan,mint,kuliyapitiya,5,1500,yes,yes,yes,"10,650,000.00"
Toyota Premio,2017,74000,petrol,automatic,pearl white,sedan,mint,monaragala,5,1500,yes,yes,yes,"15,450,000.00"
vitz,2017,60000,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,850,000"
vitz ,2015,67000,petrol,automatic,white,car,high,ambalangoda,5,1000,yes,yes,no,"7,550,000"
aqua urban ,2015,125000,hybrid,automatic,wine red,car,mint,kuliyapitiya,5,1500,yes,yes,no,"7,925,000.00"
aqua ,2013,171890,hybrid,automatic,black,car,mint,kurunegala,5,1500,yes,yes,no,"7,580,000.00"
Toyota Premio G superior,2013,38000,petrol,automatic,pearl white,sedan,mint,kelaniya,5,1500,yes,yes,yes,"11,800,000.00"
Toyota Axio WXB ,2018,100500,hybrid,automatic,white,sedan,mint,maharagama,5,1500,yes,yes,yes,"12,950,000.00"
yaris,2007,107000,petrol,manual,black,car,mint,colombo,5,1300,yes,yes,no,"6,000,000.00"
aqua urban,2015,139000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"8,100,000.00"
aqua,2012,198000,petrol,automatic,black,car,mint,chilaw,5,1500,yes,yes,no,"7,400,000.00"
Corolla 121 xli grade,2003,209490,petrol,automatic,impulse red pearl,sedan,medium,gampaha,4,1500,yes,no,no,"5,800,000.00"
yaris,2008,140000,petrol,automatic,white,car,mint,dompe,5,1300,yes,yes,no,"6,575,000.00"
yaris,2007,130000,petrol,automatic,black,car,mint,kottawa,5,1300,yes,yes,no,"6,300,000.00"
yaris,2008,156000,petrol,automatic,dark blue,car,mint,colombo,5,1300,yes,yes,no,"6,150,000.00"
vitz safety,2017,72000,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,600,000"
vitz,2010,41000,petrol,automatic,black,car,medium,kelaniya,5,1000,yes,yes,no,"5,650,000"
vitz safety ,2016,77000,petrol,automatic,ash,car,high,ballicaloa,5,1000,yes,yes,no,"7,250,000"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
aqua urban,2014,14800,hybrid,automatic,brown,car,mint,galle,5,1500,yes,yes,no,"7,850,000.00"
yaris,2008,195000,petrol,automatic,white,car,mint,colombo,5,1300,yes,yes,no,"6,750,000.00"
Toyota Premio G superior,2017,69000,petrol,automatic,pearl white,sedan,mint,dehiwala,5,1500,yes,yes,yes,"14,790,000.00"
vitz,2011,170000,petrol,automatic,white,car,high,moratuwa,5,1000,yes,yes,no,"5,500,000"
yaris,2008,190000,petrol,automatic,dark blue,car,mint,horana,5,1298,yes,yes,no,"6,375,000.00"
vitz safety ,2018,77000,petrol,automatic,dark purple,car ,high,ja-ela,5,1000,yes,yes,no,"8,300,000"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Corolla 121 g grade,2001,224727,petrol,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,650,000.00"
vitz,2018,85000,petrol,automatic,maroon,car,high,homagama,5,1000,yes,yes,no,"7,950,000"
Corolla 121 lx grade,2004,256000,petrol,manual,indigo ink peal,sedan,medium,colombo,4,1500,yes,no,no,"5,450,000.00"
yaris,2017,169000,petrol,automatic,red,car,mint,homagama,5,1329,yes,yes,no,"9,575,000.00"
vitz safety ,2018,47000,petrol,automatic,white,car,high,colombo,5,1000,yes,yes,no,"7,925,000"
vitz safety,2019,56000,petrol,automatic,red,car,high,wennappuwa,5,1000,yes,yes,no,"8,300,000"
aqua,2013,146000,hybrid,automatic,pearl white,car,mint,kalutara,5,1500,yes,yes,no,"7,650,000.00"
aqua ,2013,214458,petrol,automatic,black,car,mint,matara,5,1500,yes,yes,no,"7,350,000.00"
yaris,2007,132000,petrol,automatic,black,car,mint,kottawa,5,1300,yes,yes,no,"6,250,000.00"
aqua urban,2015,98000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"8,150,000.00"
vitz safety ,2016,135000,petrol,automatic,black,car,high,gampaha,5,1000,yes,yes,no,"6,875,000"
vits safety,2018,47000,petrol,automatic,white,car,high,colombo,5,1000,yes,yes,no,"7,925,000"
vitz,2007,130000,petrol,automatic,ash,car,high,embilipitya,5,1000,yes,no,no,"5,700,000"
vitz safety ,2016,77000,petrol,automatic,ash,car,high,batticaloa,5,1000,yes,yes,no,"7,250,000"
Toyota Axio WXB,2018,70000,hybrid,automatic,white,sedan,mint,kandy,5,1500,yes,yes,yes,"14,000,000.00"
Corolla 121 g grade,2002,152000,petrol,automatic,desert sand mica,sedan,mint,colombo,4,1500,yes,no,no,"6,390,000.00"
vitz,2008,120000,petrol, automatic,orange,car,high,nittambuwa,5,1000,yes,yes,no,"5,200,000"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
Toyota Axio G Grade ,2015,250000,hybrid,automatic,white,sedan,mint,kurunagala,5,1500,yes,yes,yes,"9,850,000.00"
yaris,2012,103000,petrol,manual,light blue,car,mint,colombo,5,1300,yes,yes,no,"6,200,000.00"
vitz,2015,36315,petrol,automatic,white,car,high,Kurunegala,5,1000,yes,yes,no,"7,150,000"
Corolla 121 xli grade,2004,205000,petrol,automatic,desert sand mica,sedan,medium,polonnaruwa,4,1300,yes,no,no,"5,650,000.00"
Toyota Axio G Grade ,2010,120000,hybrid,automatic,gray,sedan,medium,colombo,5,1500,yes,yes,yes,"7,975,000.00"
Toyota Axio WXB,2019,127000,hybrid,automatic,white,sedan,mint,kaluthara,5,1500,yes,yes,yes,"13,550,000.00"
Toyota Axio G Grade,2015,190000,hybrid,automatic,white,sedan,mint,kuliyapitiya,5,1500,yes,yes,yes,"10,850,000.00"
aqua,2013,119000,petrol,automatic,black,car,mint,ja ela,5,1500,yes,yes,no,"6,695,000.00"
Corolla 121 g grade,2003,216300,petrol,automatic,black,sedan,medium,colombo,4,1600,yes,no,no,"6,675,000.00"
Toyota Premio,2015,97652,petrol,automatic,black,sedan,mint,panadura,5,1500,yes,yes,yes,"11,475,000.00"
Corolla 121 g grade,2003,235000,petrol,automatic,heather metallic,sedan,medium,kandy,4,1500,yes,no,no,"6,000,000.00"
Toyota Axio WXB,2017,109000,hybrid,automatic,white,sedan,mint,trincomalee,5,1500,yes,yes,yes,"11,500,000.00"
vitz,2018,146000,petrol, automatic,white,car,high,malabe,5,1000,yes,yes,no,"7,795,000"
yaris,2007,157000,petrol,automatic,silver,car,mint,matara,5,1300,yes,yes,no,"6,195,000.00"
yaris,2008,141000,petrol,automatic,red,car,mint,piliyandala,5,1300,yes,yes,no,"6,150,000.00"
vitz,2002,194000,petrol,automatic,blue,car,medium,kaluthara,5,1000,no,no,no,"3,330,000"
Toyota Premio G superior,2017,87000,petrol,automatic,pearl white,sedan,mint,pannala,5,1500,yes,yes,yes,"15,575,000.00"
aqua urban,2015,86000,hybrid,automatic,white,car,mint,nugegoda,5,1500,yes,yes,no,"8,460,000.00"
aqua x urban,2014,148000,hybrid,automatic,grey,car,mint,galle,5,1500,yes,yes,no,"7,850,000.00"
yaris,2007,170000,petrol,automatic,white,car,mint,colombo,5,1300,yes,yes,no,"6,700,700.00"
aqua urban,2015,170000,petrol,automatic,white,car,mint,rathnapura,5,1500,yes,yes,no,"9,000,000.00"
aqua x urban,2016,8106,hybrid,automatic,white,car,mint,kaduwela,5,1490,yes,yes,no,"8,275,000.00"
Toyota Premio G superior,2013,116000,petrol,automatic,wine red,sedan,medium,gampaha,5,1500,yes,yes,yes,"11,550,000.00"
vitz,2007,121750,petrol,automatic,black,car,high,pannopitiya,5,1000,yes,no,no,"4,600,000"
vitz,2017,138000,petrol,automatic,black,car,high,wattala,5,1000,yes,yes,no,"7,190,000"
Corolla 121 g grade,2003,227000,petrol,automatic,desert sand mica,sedan,medium,colombo,4,1500,yes,no,no,"5,990,000.00"
aqua,2016,114000,hybrid,automatic,white,car,mint,kurunegala,5,1500,yes,yes,no,"8,750,000.00"
Toyota Premio G superior,2013,212000,petrol,automatic,wine red,sedan,medium,kegalle,5,1500,yes,yes,yes,"10,000,000.00"
yaris,2008,11000,petrol,automatic,black,car,mint,kandy,5,1300,yes,yes,no,"6,375,000.00"
yaris,2010,179000,petrol,automatic,blue,car,mint,gampaha,5,1300,yes,yes,no,"6,500,000.00"
aqua,2012,172000,hybrid,automatic,black,car,mint,matale,5,1500,yes,yes,no,"6,650,000.00"
aqua,2013,176000,hybrid,automatic,dark blue,car,mint,katunayake,5,1500,yes,yes,no,"7,200,000.00"
vitz ,2007,170000,petrol,automatic,blue,car,medium,kaduwela,5,1000,yes,yes,no,"5,450,000"
Corolla 121 x grade,2001,308000,diesel,automatic,super white,sedan,medium,rathnapura,4,2200,yes,no,no,"4,990,000.00"
Toyota Axio WXB ,2017,178000,hybrid,automatic,white,sedan,mint,katunayake,5,1500,yes,yes,yes,"11,800,000.00"
vitz,2015,132000,petrol,automatic,light brown,car,high,kaluthara,5,1000,yes,yes,no,"6,700,000"
yaris,2008,188000,petrol,automatic,black,car,mint,matara,5,1300,yes,yes,no,"6,350,000.00"
Toyota Premio,2010,150000,petrol,automatic,wine red,sedan,medium,galle,5,1500,yes,yes,yes,"10,250,000.00"
yaris,2010,116876,petrol,automatic,red,car,medium,galle,5,1329,yes,yes,no,"5,900,000.00"
aqua urban,2015,92000,petrol,automatic,white,car,mint,colombo,5,1500,yes,yes,no,"8,650,000.00"
yaris,2008,140000,petrol,automatic,dark blue,car,mint,kadawatha,5,1300,yes,yes,no,"5,695,000.00"
yaris ,2008,230000,petrol,automatic,dark blue,car,mint,colombo,5,1300,yes,yes,no,"6,280,000.00"
yaris,2008,229000,petrol,automatic,black,car,mint,colombo,5,1300,yes,yes,no,"6,400,000.00"
vitz,2007,121750,petrol,automatic,black,car,high,pannipitiya,5,1000,yes,yes,no,"4,500,000"
aqua urban,2015,137000,hybrid,automatic,pearl white,car,mint,kandy,5,1500,yes,yes,no,"7,925,000.00"
Toyota Premio,2011,225000,petrol,automatic,wine red,sedan,medium,kandy,5,1500,yes,yes,yes,"8,890,000.00"
yaris,2008,158000,petrol,manual,red,car,medium,kandy,5,1300,yes,yes,no,"5,500,000.00"
Toyota Axio G Grade,2016,108000,petrol,automatic,white,sedan,mint,piliyandala,5,1500,yes,yes,yes,"10,200,000.00"
Toyota Axio WXB ,2018,64500,hybrid,automatic,black,sedan,mint,hanwella,5,1500,yes,yes,yes,"13,100,000.00"
Toyota Premio G superior,2008,192000,petrol,automatic,silver,sedan,mint,colombo,5,1500,yes,yes,yes,"9,250,000.00"
yaris,2007,47517,petrol,automatic,black,car,mint,nawala,5,1300,yes,yes,no,"6,850,000.00"
Toyota Axio WXB ,2018,120000,hybrid,automatic,white,sedan,mint,kadawatha,5,1500,yes,yes,yes,"13,000,000.00"
vitz safety ,2018,80000,petrol,automatic,white,car,high,Divulapitiya,5,1000,yes,yes,no,"8,200,000"
yaris,2008,141000,petrol,automatic,red,car,mint,kesbewa,5,1300,yes,yes,no,"6,450,000.00"
yaris,2007,178000,petrol,automatic,black,car,mint,katunayake,5,1300,yes,yes,no,"6,300,000.00"
Corolla 121 lx grade,2006,155000,petrol,automatic,lunar mist,sedan,mint,galle,4,1500,yes,no,no,"6,550,000.00"
yaris,2012,92856,petrol,manual,black,car,mint,horana,5,660,yes,yes,no,"6,550,000.00"
Toyota Premio G superior,2019,65000,petrol,automatic,pearl white,sedan,mint,katunayake,5,1500,yes,yes,yes,"16,200,000.00"
aqua,2012,188000,petrol,automatic,orange,car,mint,negombo,5,1500,yes,yes,no,"7,000,000.00"
Toyota Premio G superior,2018,91000,petrol,automatic,pearl white,sedan,mint,kurunegala,5,1500,yes,yes,yes,"15,600,000.00"
aqua x urban,2015,151000,hybrid,automatic,grey,car,mint,rajagiriya,5,1496,yes,yes,no,"7,950,000.00"
Corolla 121 g grade,2001,162000,petrol,automatic,impulse red,sedan,medium,kaluthara,4,1500,yes,no,no,"5,850,000.00"
Toyota Premio,2008,173533,petrol,automatic,pearl white,sedan,medium,matale,5,1500,yes,yes,yes,"7,700,000.00"
aqua,2012,218700,hybrid,automatic,white,car,mint,colombo,5,1500,yes,yes,no,"6,800,000.00"
Corolla 121 g grade,2004,111000,petrol,automatic,super white,sedan,mint,gampaha,4,1500,yes,no,no,"6,900,000.00"
yaris,2007,204000,petrol,automatic,blue,car,mint,colombo,5,1300,yes,yes,no,"6,100,000.00"
Toyota Premio,2013,189000,petrol,automatic,black,sedan,medium,panadura,5,1500,yes,yes,yes,"9,975,000.00"
vitz,2007,121750,petrol,automatic,black,car,high,pannipitiya,5,1000,yes,yes,no,"5,000,000"
Corolla 121 g grade,2005,250000,petrol,automatic,indigo ink peal,sedan,medium,gampaha,4,1500,yes,no,no,"6,100,000.00"
Toyota Premio,2017,74000,petrol,automatic,wine red,sedan,mint,mawanella,5,1500,yes,yes,yes,"15,000,000.00"
aqua,2014,176000,hybrid,automatic,grey,car,mint,minuwangoda,5,1500,yes,yes,no,"7,250,000.00"
Toyota Axio WXB,2016,68900,hybrid,automatic,white,sedan,mint,nugegoda,5,1500,yes,yes,yes,"12,500,000.00"
vitz safety ,2018,93000,petrol,automatic,white,car,high,chilaw,5,1000,yes,yes,no,"8,700,000"
Toyota Premio,2018,55000,petrol,automatic,wine red,sedan,mint,panadura,5,1500,yes,yes,yes,"16,700,000.00"
Corolla 121 g grade,2005,210000,diesel,automatic,super white,sedan,mint,monaragala,4,2200,yes,no,no,"5,600,000.00"
aqua urban,2015,139000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"8,100,000.00"
vitz ,2014,132000,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"5,450,000"
yaris,2008,180000,petrol,automatic,dark blue,car,mint,homagama,5,1300,yes,yes,no,"6,500,000.00"
vitz safety ,2019,43000,petrol,automatic,red,car,high,nugegoda,5,1000,yes,yes,no,"8,490,000"
Corolla 121 g grade,2003,235000,petrol,automatic,desert sand mica,sedan,medium,gampaha,4,1500,yes,no,no,"6,050,000.00"
aqua ,2014,154000,petrol,automatic,dark blue,car,mint,kandy,5,1500,yes,yes,no,"7,350,000.00"
Toyota Axio G Grade,2015,142000,hybrid,automatic,white,sedan,mint,dehiwala-mount-lavinia,5,1000,yes,yes,yes,"10,800,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
Corolla 121 xli grade,2007,200000,petrol,manual,light gray,sedan,mint,anuradhapura,4,1300,yes,no,no,"5,650,000.00"
aqua,2013,141000,hybrid,automatic,red,car,mint,malabe,5,1500,yes,yes,no,"7,400,000.00"
Corolla 121 g grade,2000,215000,petrol,automatic,desert sand mica,sedan,medium,gampaha,4,1500,yes,no,no,"5,600,000.00"
Toyota Premio,2016,170000,petrol,automatic,pearl white,sedan,mint,trincomalee,5,1500,yes,yes,yes,"12,800,000.00"
Toyota Premio G superior,2019,25850,petrol,automatic,pearl white,sedan,mint,nugegoda,5,1500,yes,yes,yes,"18,475,000.00"
Toyota Premio,2012,181000,petrol,automatic,wine red,sedan,medium,bandaragama,5,1500,yes,yes,yes,"9,975,000.00"
Toyota Axio WXB,2016,157000,hybrid,automatic,white,sedan,mint,ragama,5,1500,yes,yes,yes,"11,500,000.00"
aqua,2012,175000,petrol,automatic,black,car,mint,matara,5,1500,yes,yes,no,"6,800,000.00"
Toyota Premio,2018,136000,petrol,automatic,black,sedan,mint,colombo,5,1500,yes,yes,yes,"15,250,000.00"
yaris,2008,91000,petrol,automatic,light green,car,mint,boralesgamuwa,5,1300,yes,yes,no,"6,375,000.00"
aqua,2014,59000,hybrid,automatic,black,car,mint,kuliyapitiya,5,1500,yes,yes,no,"7,500,000.00"
Corolla 121 g grade,2001,260000,petrol,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,250,000.00"
Toyota Axio G Grade,2014,120000,hybrid,automatic,white,sedan,medium,divulapitiya,5,1500,yes,yes,yes,"8,325,000.00"
aqua,2012,220000,hybrid,automatic,white,car,mint,malabe,5,1500,yes,yes,no,"7,500,000.00"
